lga_name,total_population_2021,asian_born_count,asian_born_pct,estimated
Melbourne,149615,36156,24.2,true
Monash,190397,50137,26.3,true
Whitehorse,169346,36838,21.8,true
Greater Dandenong,158208,46436,29.4,true
Manningham,124700,22407,18.0,true
Boroondara,167900,21189,12.6,true
Knox,159103,21376,13.4,true
Maroondah,115043,10029,8.7,true
Brimbank,194618,39359,20.2,true
Wyndham,292011,65568,22.5,true
Casey,365239,47381,13.0,true
Hume,243901,20327,8.3,true
Darebin,148570,7594,5.1,true
Merri-bek,171357,7663,4.5,true
Glen Eira,148908,13281,8.9,true
Nillumbik,62895,909,1.4,true
Whittlesea,229396,20913,9.1,true
