nationality,discipline,wins
China,MS,7
China,WS,4
China,MD,3
China,WD,4
China,XD,5
Chinese Taipei,MS,0
Chinese Taipei,WS,0
Chinese Taipei,MD,0
Chinese Taipei,WD,0
Chinese Taipei,XD,1
Hong Kong,MS,0
Hong Kong,WS,0
Hong Kong,MD,0
Hong Kong,WD,1
Hong Kong,XD,0
India,MS,1
India,WS,2
India,MD,0
India,WD,0
India,XD,0
Indonesia,MS,1
Indonesia,WS,0
Indonesia,MD,4
Indonesia,WD,2
Indonesia,XD,1
Japan,MS,1
Japan,WS,3
Japan,MD,3
Japan,WD,3
Japan,XD,0
South Korea,MS,0
South Korea,WS,2
South Korea,MD,3
South Korea,WD,2
South Korea,XD,4
Spain,MS,0
Spain,WS,1
Spain,MD,0
Spain,WD,0
Spain,XD,0
Thailand,MS,0
Thailand,WS,0
Thailand,MD,0
Thailand,WD,1
Thailand,XD,0
Vietnam,MS,1
Vietnam,WS,0
Vietnam,MD,0
Vietnam,WD,0
Vietnam,XD,0
