lga,lon,lat,courts,asian_born_pct
Boroondara,145.05181,-37.81484,4,12.6
Brimbank,144.80607,-37.7313,8,20.2
Cardinia,145.57311,-38.04791,0,0.0
Casey,145.3185,-38.10454,12,13.0
Darebin,145.01652,-37.7336,4,5.1
Frankston,145.15846,-38.13746,0,0.0
Glen Eira,145.04199,-37.89971,4,8.9
Greater Dandenong,145.19152,-37.99259,22,29.4
Hobsons Bay,144.84149,-37.85717,6,0.0
Hume,144.83215,-37.59404,14,8.3
Kingston (Vic.),145.10489,-37.99565,0,0.0
Knox,145.26617,-37.88451,10,13.4
Manningham,145.18984,-37.7531,6,18.0
Maribyrnong,144.88137,-37.79104,0,0.0
Maroondah,145.26676,-37.80773,3,8.7
Melbourne,144.94262,-37.81366,12,24.2
Melton,144.62191,-37.6856,0,0.0
Mitchell,145.03892,-37.16157,0,0.0
Monash,145.1483,-37.90042,26,26.3
Moonee Valley,144.8986,-37.7563,4,0.0
Moreland,144.94794,-37.73252,0,4.5
Mornington Peninsula,144.99448,-38.35141,0,0.0
Nillumbik,145.21043,-37.65769,4,1.4
Port Phillip,144.96456,-37.85214,0,0.0
Stonnington,145.03768,-37.85995,0,0.0
Whitehorse,145.15355,-37.82805,0,21.8
Whittlesea,145.07594,-37.5613,8,9.1
Wyndham,144.63822,-37.90925,24,22.5
Yarra,145.00473,-37.80054,0,0.0
